12/01/1996  00:00:00    02/28/1997  24:00:00
12/01/1997  00:00:00    02/28/1998  24:00:00
12/01/1998  00:00:00    02/28/1999  24:00:00
12/01/1999  00:00:00    02/29/2000  24:00:00
12/01/2000  00:00:00    02/28/2001  24:00:00
12/01/2001  00:00:00    02/28/2002  24:00:00
12/01/2002  00:00:00    02/28/2003  24:00:00
12/01/2003  00:00:00    02/29/2004  24:00:00
12/01/2004  00:00:00    02/28/2005  24:00:00
12/01/2005  00:00:00    02/28/2006  24:00:00
12/01/2006  00:00:00    02/28/2007  24:00:00
12/01/2007  00:00:00    02/29/2008  24:00:00
12/01/2008  00:00:00    02/28/2009  24:00:00
12/01/2009  00:00:00    02/28/2010  24:00:00
